Ref,Val,Package,PosX,PosY,Rot,Side
"FID5","Fiducial","Fiducial_1mm_Mask2mm",125.270000,-50.310000,180.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",78.750000,-55.900000,180.000000,bottom
"FID7","Fiducial","Fiducial_1mm_Mask2mm",132.260000,-139.060000,180.000000,bottom
"FID8","Fiducial","Fiducial_1mm_Mask2mm",78.850000,-139.070000,180.000000,bottom
"J1","54-00164","TENSILITY_54-00164",84.580000,-67.360000,90.000000,bottom
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical_shifted",87.205000,-50.292000,180.000000,bottom
"J5","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A",80.865000,-83.260000,90.000000,bottom
"J6","Conn_01x04","470531000",89.621000,-143.622000,0.000000,bottom
"SW1","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",130.186000,-104.448000,180.000000,bottom
"SW2","GT-TC029B-H025-L1N","SW_CS1213AGF260_CRS",130.082000,-113.155000,180.000000,bottom
"U1","~","polarity",81.994918,-74.631416,180.000000,bottom
"U4","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",117.430000,-72.610000,90.000000,bottom
"U8","BM1370_mode1","BM1370",105.610562,-116.546000,180.000000,bottom
"C1","1uF","C_0402_1005Metric",92.170000,-82.220000,180.000000,top
"C2","10uF","C_0805_2012Metric",96.600000,-69.350000,0.000000,top
"C3","47uF","C_1210_3225Metric",96.600000,-63.300000,0.000000,top
"C4","47uF","C_1210_3225Metric",96.600000,-66.550000,0.000000,top
"C5","1uF","C_0402_1005Metric",86.790000,-70.110000,0.000000,top
"C6","4700pF","C_0402_1005Metric",96.570000,-74.000000,0.000000,top
"C7","1uF","C_0402_1005Metric",96.590000,-71.540000,0.000000,top
"C8","0.1uF","C_0402_1005Metric",89.560000,-71.130000,180.000000,top
"C9","2200pF","C_0402_1005Metric",96.570000,-72.760000,0.000000,top
"C10","4.7uF","C_0402_1005Metric",102.750000,-75.040000,-90.000000,top
"C11","1000pF","C_0805_2012Metric",92.140000,-85.860000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",93.100000,-83.760000,-90.000000,top
"C13","100pF","C_0402_1005Metric",87.630000,-77.490000,-90.000000,top
"C14","22uF","C_0805_2012Metric",104.580000,-78.930000,90.000000,top
"C15","22uF","C_0805_2012Metric",100.360000,-78.910000,90.000000,top
"C16","22uF","C_0805_2012Metric",102.480000,-78.910000,90.000000,top
"C17","100uF","C_1206_3216Metric",108.890000,-90.910000,0.000000,top
